Local Authority Reference,Works Status,Works Type,Category Of Works,Description Of Works,Street,Location Of Works,Locality,Start Date,End Date,Reference,Responsible Company,Contact Telephone Number,Emergency Contact Telephone Number,Ward Code,Ward Name,Easting,Northing,Longitude,Latitude,Location,Spatial Accuracy,Last Uploaded,Organisation URI
LA00507458,WORKS ABANDONED,MAJOR,Streetworks,Open cut trench excavation to lay new ducts for future EHV cable install,Nutley Terrace,from junc with Maresfield Gardens to Netherhall Gardens,Frognal And Fitzjohns,01/04/2024,30/04/2025,EC400-24207482,Uk Power Networks Eastern& London,-,-,E05013652,Belsize,526347.4,184913.68,-0.179165,51.54898,"(51.54898, -0.179165)",Plotted By Council Officer,24/03/2025 08:15:48 AM,http://opendatacommunities.org/id/london-borough-council/camden
LA00528542,PROPOSED WORKS,MINOR,Streetworks,Marlborough working on behalf of London Borough of Camden. asps and blocks poor tree root damage 9mneeds making safe,Hollycroft Avenue,os 2,Frognal And Fitzjohns,25/03/2025,27/03/2025,CM045-G-LIVE-00294588,Camden,-,-,E05013657,Frognal,525336.61,186206.37,-0.193275,51.560823,"(51.560823, -0.193275)",Plotted By Council Officer,24/03/2025 08:15:48 AM,http://opendatacommunities.org/id/london-borough-council/camden
LA00528093,PROPOSED WORKS,MINOR,Streetworks,[Utility asset works] WATER METER INSTALLATION IN THE FOOTWAY (1),Branch Hill,OUTSIDE 2 THE CHESTNUTS,Hampstead Town,31/03/2025,02/04/2025,MU028-PMP-CAMDEN-0313097,Thames Water Utilities Ltd,-,-,E05013657,Frognal,526035.94,186232.76,-0.183182,51.560904,"(51.560904, -0.183182)",Plotted By Council Officer,24/03/2025 08:15:48 AM,http://opendatacommunities.org/id/london-borough-council/camden
LA00528417,PROPOSED WORKS,MINOR,Streetworks,Marlborough working on behalf of London Borough of Camden. supply 1x600x600 asp,West End Lane,os 302,West Hampstead,24/03/2025,26/03/2025,CM045-G-LIVE-00294518,Camden,-,-,E05013671,West Hampstead,525594.17,185294.46,-0.189887,51.55257,"(51.55257, -0.189887)",Plotted By Council Officer,24/03/2025 08:15:48 AM,http://opendatacommunities.org/id/london-borough-council/camden
LA00528377,IN PROGRESS,MINOR,Streetworks,Marlborough working on behalf of London Borough of Camden. rl kerbs 2m may need suspension,Templewood Avenue,op lc 6,Frognal And Fitzjohns,22/03/2025,25/03/2025,CM045-G-LIVE-00294499,Camden,-,-,E05013657,Frognal,525826.14,186273.02,-0.186193,51.561313,"(51.561313, -0.186193)",Plotted By Council Officer,24/03/2025 08:15:48 AM,http://opendatacommunities.org/id/london-borough-council/camden
LA00528257,PROPOSED WORKS,MINOR,Streetworks,[New service connection] Excavating to provide service to the end user,Avenue Road,os  16 AVENUE ROAD LONDON NW8 6BP,Swiss Cottage,24/03/2025,26/03/2025,BZC04-WG5VP94G01,Bt,-,-,E05013667,Primrose Hill,527337.1,183519.74,-0.165403,51.53623,"(51.53623, -0.165403)",Plotted By Council Officer,24/03/2025 08:15:48 AM,http://opendatacommunities.org/id/london-borough-council/camden
LA00521494,PROPOSED PERMANENT,MINOR,Streetworks,[Permanent reinstatement] Interim to perm reinstatement in footway,North Villas,20,Cantelowes,25/03/2025,26/03/2025,MU701-00650504-001,Thames Water Utilities Ltd,-,-,E05013654,Camden Square,529774.91,184770.96,-0.129813,51.54692,"(51.54692, -0.129813)",Plotted By Council Officer,24/03/2025 08:15:48 AM,http://opendatacommunities.org/id/london-borough-council/camden
LA00527887,PROPOSED WORKS,STANDARD,Streetworks,[New service connection] Connections Projects: Installation of a new electricity supply for a customer: Excavation of joint holes and track work to install a 100A BNO and disconnection of 3x old services.,Streatley Place,"S/O. 7 Flask Walk, NW3",Hampstead Town,22/04/2025,26/04/2025,EC400-63246355,Uk Power Networks Eastern& London,-,-,E05013659,Hampstead Town,526553.33,185929.61,-0.175832,51.558064,"(51.558064, -0.175832)",Plotted By Council Officer,24/03/2025 08:15:48 AM,http://opendatacommunities.org/id/london-borough-council/camden
LA00508552,PROPOSED WORKS,HIGHWAYS ACT PERMITS,Building Licence,Erection of scaffolding on the public highway to facilitate building works,Saffron Hill,Rear of 20-24 Kirby Street,Holborn And Covent Garden,30/10/2023,28/04/2025,CM001-L-LIVE-00058717,Camden,-,-,E05013662,Holborn and Covent Garden,531423.66,181900.81,-0.10712,51.520746,"(51.520746, -0.10712)",Plotted By Council Officer,24/03/2025 08:15:48 AM,http://opendatacommunities.org/id/london-borough-council/camden
LA00523932,PROPOSED WORKS,HIGHWAYS ACT PERMITS,Building Licence,Placement of container on the public highway to facilitate replacement waterproofing layer to firstfloor walkway,Endell Street,s/o 47 Shelton Street,Holborn And Covent Garden,09/12/2024,09/06/2025,CM001-L-LIVE-00061070,Camden,-,-,E05013662,Holborn and Covent Garden,530179.02,181230.87,-0.125296,51.515013,"(51.515013, -0.125296)",Plotted By Council Officer,24/03/2025 08:15:48 AM,http://opendatacommunities.org/id/london-borough-council/camden
LA00525611,PROPOSED WORKS,MAJOR,Streetworks,[New service connection] Connections Projects: Installation of a new electricity supply for a customer: Excavation of joint holes and track work for a new electrical connection.,Morwell Street,"Opp No 11, WC1B",Bloomsbury,14/04/2025,29/04/2025,EC400-37759302,Uk Power Networks Eastern& London,-,-,E05013653,Bloomsbury,529722.74,181630.1,-0.131721,51.518706,"(51.518706, -0.131721)",Plotted By Council Officer,24/03/2025 08:15:48 AM,http://opendatacommunities.org/id/london-borough-council/camden
LA00521683,PROPOSED WORKS,HIGHWAYS ACT PERMITS,Building Licence,construction of temporary crossover  on the public highway to facilitate safe construction zone,Chalton Street,Godwin & Crowndale Estate,St Pancras And Somers Town,30/09/2024,31/03/2025,CM001-L-LIVE-00060723,Camden,-,-,E05013669,St Pancras and Somers Town,529495.87,183299.04,-0.134376,51.533756,"(51.533756, -0.134376)",Plotted By Council Officer,24/03/2025 08:15:48 AM,http://opendatacommunities.org/id/london-borough-council/camden
LA00526374,PROPOSED WORKS,MAJOR,Streetworks,[Utility asset works] Connections Projects: Installation of a new electricity supply for a customer:Parking/Loading Bay Suspension: Bus Stop Suspension: Opening utility tunnel on Southampton Row to complete survey,Southampton Row,Southampton Row opposite disused tram tunnel jct Theobalds road,Holborn And Covent Garden,05/05/2025,25/05/2025,EC400-00210730,Uk Power Networks Eastern& London,-,-,E05013662,Holborn and Covent Garden,530391.07,181767.87,-0.122043,51.51979,"(51.51979, -0.122043)",Plotted By Council Officer,24/03/2025 08:15:48 AM,http://opendatacommunities.org/id/london-borough-council/camden
LA00525578,WORKS ABANDONED,MINOR,Streetworks,"Installation of a replacement potable water trunk main through Regents Park, approx 1.4k/ Main Worksis all within Outer Circle with Valve operations for isolations and zoning extending into the Camden area. This permit covers the main works, providing a vehicle holding area in Lane 1 EastBound. 2 Way traffic will be maintained. Multi way lights will be in place by jct with Park Square East.",Outer Circle,From outside the entrance to the broad walk bridge to outside 3 outer circle.,Regent's Park,17/02/2025,17/07/2025,MU056-TWG0045OUTERCIRC,Thames Water Utilities Ltd,-,-,E05013668,Regents Park,528390.11,183563.62,-0.150213,51.536386,"(51.536386, -0.150213)",Plotted By Council Officer,24/03/2025 08:15:48 AM,http://opendatacommunities.org/id/london-borough-council/camden
LA00524584,PROPOSED WORKS,MAJOR,Streetworks,[Utility repair and maintenance works] District Meter - METER EXCHANGE IN C/W. Working in conjunction with MU288DM10327-03. Intended 1st time reinstatement.,Crestfield Street,"J/O EUSTON ROAD, CRESTFIELD STREET, LONDON, WC1H 8AT",King's Cross,15/05/2025,19/05/2025,MU288-DM10327-02,Thames Water Utilities Ltd,-,-,E05013666,Kings Cross,530286.12,182929.75,-0.123126,51.530256,"(51.530256, -0.123126)",Plotted By Council Officer,24/03/2025 08:15:48 AM,http://opendatacommunities.org/id/london-borough-council/camden
LA00528147,PROPOSED WORKS,MINOR,Streetworks,[Utility asset works] WATER METER INSTALLATION IN FOOTWAY (1),Thurlow Road,12,Hampstead Town,31/03/2025,02/04/2025,MU028-PMP-CAMDEN-0313235,Thames Water Utilities Ltd,-,-,E05013659,Hampstead Town,526724.47,185413.35,-0.17355,51.553386,"(51.553386, -0.17355)",Plotted By Council Officer,24/03/2025 08:15:48 AM,http://opendatacommunities.org/id/london-borough-council/camden
LA00527789,WORKS ABANDONED,MINOR,Streetworks,[Utility repair and maintenance works] Excavate in F/W to install new tapping to main and install 1200mm aerial post marker and connect ducting to atplas back fill and reinstate,Dartmouth Park Hill,Outside 22a NW5 1HL,Highgate,24/03/2025,26/03/2025,MU093-MCW-NL-06808876,Thames Water Utilities Ltd,-,-,,,529071.23,186035.72,-0.139492,51.558448,,Plotted By Council Officer,24/03/2025 08:15:48 AM,http://opendatacommunities.org/id/london-borough-council/camden
LA00528192,PROPOSED WORKS,STANDARD,Streetworks,[Utility asset works] Connections Projects: Installation of a new electricity supply for a customer:excavating to install 6x 125mm rigid ducts for new 11kv cables,Russell Square,from the junction of Montague place to junction of Montague street - RUSSELL SQUARE,Bloomsbury,15/04/2025,26/04/2025,EC400-90466866,Uk Power Networks Eastern& London,-,-,E05013653,Bloomsbury,530056.42,181887.76,-0.12682,51.520945,"(51.520945, -0.12682)",Plotted By Council Officer,24/03/2025 08:15:48 AM,http://opendatacommunities.org/id/london-borough-council/camden
LA00528511,PROPOSED WORKS,MINOR,Streetworks,[Utility asset works] Install 6m of 1 way poly duct in Footway,Tottenham Court Road,"20400948 - OS 99 ON TOTTENHAM COURT ROAD, TOTTENHAM COURT ROAD",Bloomsbury,25/03/2025,25/03/2025,BC410-LO00000500346939901,Bt,-,-,E05013653,Bloomsbury,529397,182039,-0.136263,51.522455,"(51.522455, -0.136263)",Plotted By Council Officer,24/03/2025 08:15:48 AM,http://opendatacommunities.org/id/london-borough-council/camden
LA00523726,PROPOSED WORKS,HIGHWAYS ACT PERMITS,Building Licence,Erection of scaffolding on the public highway to facilitate building refurbishment,Old Gloucester Street,25,Holborn And Covent Garden,20/11/2024,26/05/2025,CM001-L-LIVE-00061041,Camden,-,-,E05013662,Holborn and Covent Garden,530438.69,181808.9,-0.121342,51.520148,"(51.520148, -0.121342)",Plotted By Council Officer,24/03/2025 08:15:48 AM,http://opendatacommunities.org/id/london-borough-council/camden
LA00528370,PROPOSED WORKS,MINOR,Streetworks,Marlborough working on behalf of London Borough of Camden. rl yorkstone 1m,Holly Hill,os 20,Hampstead Town,22/03/2025,25/03/2025,CM045-G-LIVE-00294493,Camden,-,-,E05013659,Hampstead Town,526307.72,185849.66,-0.179401,51.5574,"(51.5574, -0.179401)",Plotted By Council Officer,24/03/2025 08:15:48 AM,http://opendatacommunities.org/id/london-borough-council/camden
LA00527737,IN PROGRESS,STANDARD,Streetworks,[New service connection] Connections Small Service: Installation of a new electricity supply for a customer: Parking/Loading Bay Suspension: UG a supply for a customer,Gondar Gardens,"JH OS 29, Gondar Gardens, London, NW6 1EP",Fortune Green,20/03/2025,27/03/2025,EC400-90162104,Uk Power Networks Eastern& London,-,-,E05013656,Fortune Green,524788.14,185400.16,-0.201469,51.553699,"(51.553699, -0.201469)",Plotted By Council Officer,24/03/2025 08:15:48 AM,http://opendatacommunities.org/id/london-borough-council/camden
LA00467856,PROPOSED WORKS,MAJOR,Streetworks,[Utility asset works] Connections Projects: Installation of a new electricity supply for a customer:Parking/Loading Bay Suspension: Excavation of trench to install new 11kv cables,Eagle Street,From the junction of Red Lion Street 40m East,Holborn And Covent Garden,19/05/2025,06/06/2025,EC400-56622498,Uk Power Networks Eastern& London,-,-,E05013662,Holborn and Covent Garden,530740.42,181675.81,-0.117045,51.518882,"(51.518882, -0.117045)",Plotted By Council Officer,24/03/2025 08:15:48 AM,http://opendatacommunities.org/id/london-borough-council/camden
LA00523930,PROPOSED WORKS,HIGHWAYS ACT PERMITS,Building Licence,Erection of scaffolding on the public highway to facilitate replacement waterproofing layer to firstfloor walkway,Endell Street,s/o 47 Shelton Street,Holborn And Covent Garden,09/12/2024,09/06/2025,CM001-L-LIVE-00061068,Camden,-,-,E05013662,Holborn and Covent Garden,530174.84,181231.84,-0.125356,51.515023,"(51.515023, -0.125356)",Plotted By Council Officer,24/03/2025 08:15:48 AM,http://opendatacommunities.org/id/london-borough-council/camden
LA00527836,WORKS ABANDONED,MINOR,Streetworks,[Utility asset works] 1. These works are in preparation for a new Telephone Kiosk.  2. These works are for the excavation for a jointing pit for a new DNO (Electrical Connection) to the new temporarycabinet and for the connection of the Power cable and testing,Shaftesbury Avenue,J/W Earlham Street,Holborn And Covent Garden,25/03/2025,26/03/2025,RE002-CAM7000DD-RM-WK13,Infocus Public Networks,-,-,E05013662,Holborn and Covent Garden,529953.56,181065.83,-0.128604,51.513582,"(51.513582, -0.128604)",Plotted By Council Officer,24/03/2025 08:15:48 AM,http://opendatacommunities.org/id/london-borough-council/camden
LA00528339,WORKS ABANDONED,MINOR,Streetworks,"[New service connection] to access carriageway chamber to locate fibre, splice fibre and test outagefor customer connections on behalf of Vodafone",Tavistock Square,opposite memorial gardens,Bloomsbury,01/04/2025,02/04/2025,NX508-FWI3560-SPL,Vodafone,-,-,E05013653,Bloomsbury,529884.86,182430.99,-0.129091,51.525866,"(51.525866, -0.129091)",Plotted By Council Officer,24/03/2025 08:15:48 AM,http://opendatacommunities.org/id/london-borough-council/camden
LA00489955,PROPOSED WORKS,HIGHWAYS ACT PERMITS,Building Licence,Erection of scaffolding on the public highway to facilitate ENTER REASON FOR OPERATION,Leeke Street,Rear of 1 - 6 Field Street,King's Cross,13/06/2022,01/04/2025,CM001-L-LIVE-00055379,Camden,-,-,E05013666,Kings Cross,530597.42,182934.62,-0.118639,51.530228,"(51.530228, -0.118639)",Plotted By Council Officer,24/03/2025 08:15:48 AM,http://opendatacommunities.org/id/london-borough-council/camden
LA00526003,PROPOSED REMEDIAL,MINOR,Streetworks,[Remedial works] To rectify HA defect - cracked trench,Highgate West Hill,JUNC OF SWAIN'S LANE ON HIGHGATE WEST HILL,Highgate,09/04/2025,10/04/2025,BC410-LO00000500341493600,Bt,-,-,E05013661,Highgate,528282.52,186363.2,-0.150743,51.56157,"(51.56157, -0.150743)",Plotted By Council Officer,24/03/2025 08:15:48 AM,http://opendatacommunities.org/id/london-borough-council/camden
LA00526221,PROPOSED REMEDIAL,MINOR,Streetworks,[Remedial works] remedial works  Laid Profile is not acceptable,Avenue Road,Footway and carriageway outside 16 Avenue Road,Swiss Cottage,07/04/2025,07/04/2025,AZ703-1001403724,Cadent Gas Limited,-,-,E05013667,Primrose Hill,527329,183526,-0.165518,51.536288,"(51.536288, -0.165518)",Plotted By Council Officer,24/03/2025 08:15:48 AM,http://opendatacommunities.org/id/london-borough-council/camden
LA00527924,PROPOSED WORKS,MINOR,Streetworks,[Utility asset works] CLEAR A BLOCKED TEE IN THE FOOTWAY,Pond Street,OUTSIDE 9,Hampstead Town,07/04/2025,07/04/2025,NK103-ACC75329301,Virgin Media,-,-,E05013659,Hampstead Town,527117.94,185456.88,-0.167862,51.553689,"(51.553689, -0.167862)",Plotted By Council Officer,24/03/2025 08:15:48 AM,http://opendatacommunities.org/id/london-borough-council/camden
LA00527765,WORKS ABANDONED,MINOR,Streetworks,[Utility asset works] fit new tee,Albany Street,outsdie 19,Regent's Park,27/03/2025,27/03/2025,NK103-ACC112100001-1,Virgin Media,-,-,E05013668,Regents Park,528829.16,182349.3,-0.14433,51.525373,"(51.525373, -0.14433)",Plotted By Council Officer,24/03/2025 08:15:48 AM,http://opendatacommunities.org/id/london-borough-council/camden
LA00525960,PROPOSED WORKS,MAJOR,Streetworks,"[New service connection] NLS - New water connections, 2x63mm MDPE Commercial Non  Revenue Metered Supplies, 1x32mm MDPE Commercial Metered Temporary Building Supply be disconnected and 2x125mm MDPE Fire Supplies  (1 Dedicated & 1 Backup) off 125mm HPPE main excavating in footway and carriageway",Morwell Street,"Outside and opposite the rear of 247 Tottenham Court Road, W1D 1AT",Bloomsbury,22/04/2025,29/04/2025,MU091-NLS0081077554-0525,Thames Water Utilities Ltd,-,-,E05013653,Bloomsbury,529758.12,181580.05,-0.13123,51.518248,"(51.518248, -0.13123)",Plotted By Council Officer,24/03/2025 08:15:48 AM,http://opendatacommunities.org/id/london-borough-council/camden
LA00528529,PROPOSED WORKS,MINOR,Streetworks,[Utility asset works] Excavate in footway to locate / install tee for customer connection,Tavistock Place,Corner of 23,King's Cross,14/04/2025,14/04/2025,NK103-ACC118837601,Virgin Media,-,-,E05013653,Bloomsbury,530149.89,182428.99,-0.125274,51.525787,"(51.525787, -0.125274)",Plotted By Council Officer,24/03/2025 08:15:48 AM,http://opendatacommunities.org/id/london-borough-council/camden
LA00528495,IN PROGRESS,IMMEDIATE (URGENT),Streetworks,[Utility repair and maintenance works] Lead Service Pipe Relay,Grove Terrace,"15 GROVE TERRACE, LONDON,  NW5 1PH",Highgate,20/03/2025,26/03/2025,MU701-00777193-001,Thames Water Utilities Ltd,-,-,E05013661,Highgate,528519.59,185976.15,-0.147467,51.558038,"(51.558038, -0.147467)",Plotted By Council Officer,24/03/2025 08:15:48 AM,http://opendatacommunities.org/id/london-borough-council/camden
LA00527273,PROPOSED WORKS,MAJOR,Streetworks,[New service connection] NEW WATER CONNECTION WORKS -  Plot 2: 1x90mm Barrier Pipe nonrevenue metered dedicated fire  supply.  3m cw 2m fw,Field Street,ADJACENT TO 181 KING'S CROSS ROAD & OPPOSITE,King's Cross,21/05/2025,27/05/2025,MU091-NLS0081331076-0045,Thames Water Utilities Ltd,-,-,E05013666,Kings Cross,530599.2,182968.27,-0.118601,51.53053,"(51.53053, -0.118601)",Plotted By Council Officer,24/03/2025 08:15:48 AM,http://opendatacommunities.org/id/london-borough-council/camden
LA00526233,PROPOSED REMEDIAL,MINOR,Streetworks,[Remedial works] RECTIFY  DEFECT,Rousden Street,17-19,Cantelowes,02/04/2025,03/04/2025,MU701-00759331-001,Thames Water Utilities Ltd,-,-,E05013654,Camden Square,529252.47,184221.93,-0.137545,51.542106,"(51.542106, -0.137545)",Plotted By Council Officer,24/03/2025 08:15:48 AM,http://opendatacommunities.org/id/london-borough-council/camden
LA00528449,PROPOSED WORKS,MINOR,Streetworks,[Utility asset works] Clear Blockage O/S 23,Frognal Lane,Clear Blockage O/S 23,Frognal And Fitzjohns,24/03/2025,26/03/2025,BC991--GEC-WEWHAM-1358265,Bt,-,-,E05013657,Frognal,526035.3,185502.97,-0.183453,51.554346,"(51.554346, -0.183453)",Plotted By Council Officer,24/03/2025 08:15:48 AM,http://opendatacommunities.org/id/london-borough-council/camden
LA00515670,IN PROGRESS,STANDARD,Streetworks,Installation of HS2 Parking Signs in various locations around Adelaide Road Vent Shaft -      To prohibit the workforce from parking their work vehicles / private vehicles on streets we are proposingto install 6 signs around ARVS area. This would reduce disruption caused to residential communities/ local businesses.  HS2 Highway works inside act limits,Adelaide Road,"527588 , 184360 Adelaide Road 527659 , 184478 Fellows Road 527770 , 184465 Eton Road 528031 , 184395",Haverstock,01/03/2023,31/12/2025,TA011-THW-LBC-SCS-4830,Hs2 Ltd,-,-,E05013660,Haverstock,527726.2,184373.3,-0.159487,51.543813,"(51.543813, -0.159487)",Plotted By Council Officer,24/03/2025 08:15:48 AM,http://opendatacommunities.org/id/london-borough-council/camden
LA00528576,PROPOSED WORKS,MINOR,Streetworks,Marlborough working on behalf of London Borough of Camden. rl 2 asps supply 1x600x600 asp on ramp,Kidderpore Gardens,so 21,Frognal And Fitzjohns,26/03/2025,28/03/2025,CM045-G-LIVE-00294626,Camden,-,-,E05013657,Frognal,525528.67,185886.25,-0.19062,51.557903,"(51.557903, -0.19062)",Plotted By Council Officer,24/03/2025 08:15:48 AM,http://opendatacommunities.org/id/london-borough-council/camden
LA00528450,PROPOSED WORKS,MINOR,Streetworks,Clear 1x Blockage S/O 66 to O/S 5,Frognal Way,O/S 5 - junction Frognal,Frognal And Fitzjohns,24/03/2025,26/03/2025,BC991--GEC-WEWHA-1358265,Bt,-,-,E05013657,Frognal,526119.86,185534.61,-0.182223,51.554611,"(51.554611, -0.182223)",Plotted By Council Officer,24/03/2025 08:15:48 AM,http://opendatacommunities.org/id/london-borough-council/camden
LA00528610,IN PROGRESS,IMMEDIATE (EMERGENCY),Streetworks,"[Utility repair and maintenance works] Trace, then excavate to repair gas escape and reinstate wherepossible",Highgate West Hill,footway outside 2 Holly terrace,Highgate,21/03/2025,31/03/2025,AZ116-1001417926,Cadent Gas Limited,-,-,E05013661,Highgate,528066.2,187065.61,-0.153607,51.567932,"(51.567932, -0.153607)",Plotted By Council Officer,24/03/2025 08:15:48 AM,http://opendatacommunities.org/id/london-borough-council/camden
LA00527892,PROPOSED WORKS,MINOR,Streetworks,[Utility asset works] Clear Blockage,Bayham Street,OUTSIDE 41,Camden Town,01/04/2025,01/04/2025,NK103-ACC118828501-2,Virgin Media,-,-,E05013668,Regents Park,529162.67,183595.23,-0.139069,51.536494,"(51.536494, -0.139069)",Plotted By Council Officer,24/03/2025 08:15:48 AM,http://opendatacommunities.org/id/london-borough-council/camden
LA00528545,PROPOSED WORKS,MINOR,Streetworks,Marlborough working on behalf of London Borough of Camden. rl 3 asps by tree,Ferncroft Avenue,os 17,Frognal And Fitzjohns,25/03/2025,27/03/2025,CM045-G-LIVE-00294622,Camden,-,-,E05013657,Frognal,525386.38,185997.57,-0.192632,51.558935,"(51.558935, -0.192632)",Plotted By Council Officer,24/03/2025 08:15:48 AM,http://opendatacommunities.org/id/london-borough-council/camden
LA00333978,PROPOSED WORKS,MINOR,Streetworks,[Utility asset works] Sahara survey for leak detection,Belsize Road,OPP 115 BELSIZE ROAD,Kilburn,28/03/2025,28/03/2025,MU600-MFC013-1,Thames Water Utilities Ltd,-,-,E05013665,Kilburn,525884.83,183920.28,-0.186188,51.540155,"(51.540155, -0.186188)",Plotted By Council Officer,24/03/2025 08:15:48 AM,http://opendatacommunities.org/id/london-borough-council/camden
LA00528052,PROPOSED WORKS,STANDARD,Streetworks,[Highway improvement works] Mitigation works - footway improvements,Goldhurst Terrace,j/w Fairhazel Gardens,Swiss Cottage,24/03/2025,28/03/2025,MH065-40308095,Camden,-,-,E05013670,South Hampstead,526206.38,184161.96,-0.181467,51.542256,"(51.542256, -0.181467)",Plotted By Council Officer,24/03/2025 08:15:48 AM,http://opendatacommunities.org/id/london-borough-council/camden
